data_type,standard_feature_id,gene_symbol,mirna_name,discovery_series_id,discovery_logFC,discovery_adj_p,discovery_p_value,discovery_direction,GSE110147_present,GSE110147_logFC,GSE110147_adj_p,GSE110147_p_value,GSE110147_same_direction,GSE110147_same_direction_fdr_sig,GSE110147_same_direction_nominal_sig,GSE150910_present,GSE150910_logFC,GSE150910_adj_p,GSE150910_p_value,GSE150910_same_direction,GSE150910_same_direction_fdr_sig,GSE150910_same_direction_nominal_sig,GSE53845_present,GSE53845_logFC,GSE53845_adj_p,GSE53845_p_value,GSE53845_same_direction,GSE53845_same_direction_fdr_sig,GSE53845_same_direction_nominal_sig,GSE92592_present,GSE92592_logFC,GSE92592_adj_p,GSE92592_p_value,GSE92592_same_direction,GSE92592_same_direction_fdr_sig,GSE92592_same_direction_nominal_sig,validation_datasets_total,validation_datasets_present,same_direction_validation_count,opposite_direction_validation_count,same_direction_fdr_sig_count,same_direction_nominal_sig_count,direction_consistency_fraction,robust_strict,robust_relaxed,robust_score,validation_details,GSE21394_present,GSE21394_logFC,GSE21394_adj_p,GSE21394_p_value,GSE21394_same_direction,GSE21394_same_direction_fdr_sig,GSE21394_same_direction_nominal_sig,GSE27430_present,GSE27430_logFC,GSE27430_adj_p,GSE27430_p_value,GSE27430_same_direction,GSE27430_same_direction_fdr_sig,GSE27430_same_direction_nominal_sig
bulk mRNA,ASPN,ASPN,,GSE32537,2.87354942016807,8.212072888495109e-43,1.37440550435065e-46,up,True,1.58992318181818,1.60771778016373e-08,3.6285548601767205e-09,True,True,True,True,1.80975550260201,4.39658130216993e-22,7.650170468427401e-24,True,True,True,True,2.7469375,2.11203536706676e-08,1.22085946828005e-10,True,True,True,True,1.95601656607536,6.25986508483529e-08,1.66011719909372e-09,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.59/FDR=1.61e-08; GSE150910:1.81/FDR=4.4e-22; GSE53845:2.75/FDR=2.11e-08; GSE92592:1.96/FDR=6.26e-08,,,,,,,,,,,,,,
bulk mRNA,COL14A1,COL14A1,,GSE32537,2.06047864033614,1.00895030510561e-38,6.75447902999575e-42,up,True,2.34797590909091,1.05793296070136e-14,6.02584855985032e-16,True,True,True,True,2.5247113825884,6.17761812184408e-36,2.78683552574007e-39,True,True,True,True,2.5026575,5.50200200761672e-11,7.11234405862649e-14,True,True,True,True,2.73658171377691,4.61423705163165e-10,3.1521968781564e-12,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:2.35/FDR=1.06e-14; GSE150910:2.52/FDR=6.18e-36; GSE53845:2.5/FDR=5.5e-11; GSE92592:2.74/FDR=4.61e-10,,,,,,,,,,,,,,
bulk mRNA,NECAB1,NECAB1,,GSE32537,-1.80468093109244,1.40333216811779e-37,1.29177019659378e-40,down,True,-2.03696727272727,1.4158002688605e-09,2.63838804345119e-10,True,True,True,True,-1.70219568223159,8.085998604065092e-14,4.838625619214561e-15,True,True,True,True,-2.218055,3.1625254832735e-11,3.28328075081707e-14,True,True,True,True,-1.67640267225075,1.85222462389499e-10,8.37642758838112e-13,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:-2.04/FDR=1.42e-09; GSE150910:-1.7/FDR=8.09e-14; GSE53845:-2.22/FDR=3.16e-11; GSE92592:-1.68/FDR=1.85e-10,,,,,,,,,,,,,,
bulk mRNA,CDH3,CDH3,,GSE32537,1.65436129579832,1.50615627213008e-34,3.02491636243697e-37,up,True,1.46176590909091,5.09905396423487e-12,5.81926451755188e-13,True,True,True,True,2.90302950390379,3.4796218728763094e-40,4.4849157348409e-44,True,True,True,True,2.2810275,9.5515110554089e-12,7.46297679169458e-15,True,True,True,True,3.08049849000572,2.30983542793858e-14,1.28961835069989e-18,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.46/FDR=5.1e-12; GSE150910:2.9/FDR=3.48e-40; GSE53845:2.28/FDR=9.55e-12; GSE92592:3.08/FDR=2.31e-14,,,,,,,,,,,,,,
bulk mRNA,LRRC17,LRRC17,,GSE32537,1.52447373445378,6.73109134022289e-32,2.3657392158105598e-34,up,True,1.57400818181818,1.02786068128779e-11,1.25083084979972e-12,True,True,True,True,1.5165998217031,4.06623188462684e-19,1.12157456120402e-20,True,True,True,True,1.5028925,7.25243788863334e-06,1.69282513644442e-07,True,True,True,True,1.37071825536813,2.1631384865501e-07,7.66899078197372e-09,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.57/FDR=1.03e-11; GSE150910:1.52/FDR=4.07e-19; GSE53845:1.5/FDR=7.25e-06; GSE92592:1.37/FDR=2.16e-07,,,,,,,,,,,,,,
bulk mRNA,CD24,CD24,,GSE32537,2.12442620840336,1.0980246443678e-31,3.95105102157452e-34,up,True,1.49509590909091,4.8205116407859e-08,1.18120414683521e-08,True,True,True,True,1.43102040283555,1.09866070019169e-12,7.74592257530262e-14,True,True,True,True,2.3342975,1.23061764975433e-10,1.92096413620188e-13,True,True,True,True,1.57644737154458,1.64098513279377e-06,9.57416930249282e-08,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.5/FDR=4.82e-08; GSE150910:1.43/FDR=1.1e-12; GSE53845:2.33/FDR=1.23e-10; GSE92592:1.58/FDR=1.64e-06,,,,,,,,,,,,,,
bulk mRNA,CFH,CFH,,GSE32537,1.15910980336135,3.03447352362242e-31,1.11729569070616e-33,up,True,2.72273454545455,4.43211616168368e-19,5.11136921069927e-21,True,True,True,True,1.32598635728844,1.26076548420144e-37,2.43751785306717e-41,True,True,True,True,1.2937575,1.59372886031519e-07,1.53930885045077e-09,True,True,True,True,1.82111993870298,7.661968744504981e-10,5.96218721261687e-12,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:2.72/FDR=4.43e-19; GSE150910:1.33/FDR=1.26e-37; GSE53845:1.29/FDR=1.59e-07; GSE92592:1.82/FDR=7.66e-10,,,,,,,,,,,,,,
bulk mRNA,DIO2,DIO2,,GSE32537,1.29318638487395,4.95987316169666e-30,2.28278681082273e-32,up,True,1.611635,1.83640101233157e-15,8.16251763897864e-17,True,True,True,True,3.36454017607312,2.6905606266563e-36,8.66971910374525e-40,True,True,True,True,2.757095,1.75121629386774e-09,5.52371963819287e-12,True,True,True,True,3.63836963957455,5.737580466050531e-10,4.0875828226764895e-12,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.61/FDR=1.84e-15; GSE150910:3.36/FDR=2.69e-36; GSE53845:2.76/FDR=1.75e-09; GSE92592:3.64/FDR=5.74e-10,,,,,,,,,,,,,,
bulk mRNA,DCLK1,DCLK1,,GSE32537,1.44575816638656,1.57785048188643e-29,7.92226183373938e-32,up,True,2.02626136363637,1.81762855747343e-15,8.03540630267258e-17,True,True,True,True,1.55161886961543,3.28828721485401e-35,1.90723625273481e-38,True,True,True,True,1.520985,6.99174786153957e-07,9.302040536410471e-09,True,True,True,True,1.68497839408702,2.45583779648289e-08,5.22401987862196e-10,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:2.03/FDR=1.82e-15; GSE150910:1.55/FDR=3.29e-35; GSE53845:1.52/FDR=6.99e-07; GSE92592:1.68/FDR=2.46e-08,,,,,,,,,,,,,,
bulk mRNA,CXCL14,CXCL14,,GSE32537,1.20366247226891,2.50254497961008e-29,1.4240423314935998e-31,up,True,1.01877318181818,1.11292959329248e-05,4.03732364999246e-06,True,True,True,True,3.0228717748063,5.15173113902051e-34,4.98008423569683e-37,True,True,True,True,3.95837,3.37854859360386e-12,2.22489785432449e-15,True,True,True,True,3.54109919198986,2.8465352470528e-12,2.54282641688598e-15,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.02/FDR=1.11e-05; GSE150910:3.02/FDR=5.15e-34; GSE53845:3.96/FDR=3.38e-12; GSE92592:3.54/FDR=2.85e-12,,,,,,,,,,,,,,
bulk mRNA,MMP7,MMP7,,GSE32537,2.92959866554622,4.056979595725e-29,2.37647340335356e-31,up,True,2.38289454545455,3.16848853471944e-07,8.8421165464195e-08,True,True,True,True,1.71109763197829,1.4426430776044e-15,6.7032651862652e-17,True,True,True,True,4.083155,3.95574912040607e-10,8.229721887003679e-13,True,True,True,True,3.84738545512504,2.2955618799623e-10,1.28164919879532e-12,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:2.38/FDR=3.17e-07; GSE150910:1.71/FDR=1.44e-15; GSE53845:4.08/FDR=3.96e-10; GSE92592:3.85/FDR=2.3e-10,,,,,,,,,,,,,,
bulk mRNA,ID1,ID1,,GSE32537,-1.21092786722689,2.42931994852511e-27,1.9312585364844e-29,down,True,-2.35169,5.3213583804518193e-11,7.56883601820579e-12,True,True,True,True,-1.09578535465739,2.10005543195665e-13,1.34256298801379e-14,True,True,True,True,-1.316515,0.0002283566439648,1.16072011225041e-05,True,True,True,True,-1.04892754090998,0.0001235846477061,1.75879217800751e-05,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:-2.35/FDR=5.32e-11; GSE150910:-1.1/FDR=2.1e-13; GSE53845:-1.32/FDR=0.000228; GSE92592:-1.05/FDR=0.000124,,,,,,,,,,,,,,
bulk mRNA,PAPSS2,PAPSS2,,GSE32537,-1.12496486554622,8.15320744317018e-27,7.16390612161397e-29,down,True,-1.08744454545455,3.00990092230927e-07,8.37153270309821e-08,True,True,True,True,-1.23576509119705,5.59763693909899e-26,4.87001989288112e-28,True,True,True,True,-1.598675,9.06995981629805e-10,2.25642902746927e-12,True,True,True,True,-1.08329553600099,4.14704568679372e-07,1.70410676426787e-08,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:-1.09/FDR=3.01e-07; GSE150910:-1.24/FDR=5.6e-26; GSE53845:-1.6/FDR=9.07e-10; GSE92592:-1.08/FDR=4.15e-07,,,,,,,,,,,,,,
