gene_set,database,input_entrez_count,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory,significant
robust_mrna_strict,GO_BP,251,GO:0003341,cilium movement,27/217,113/7416,0.238938053097345,8.16573549202724,13.325966044143,7.29508290091525e-18,3.04861514429248e-14,3.04861514429248e-14,LRRC46/DNAH9/DRC1/SPAG6/EFHC2/DNAH3/ROPN1L/RSPH1/IQUB/ENKUR/DNAAF1/PACRG/DNAH7/DNAH6/RSPH4A/DNAH5/TEKT1/DNAH12/SPAG17/DNAI1/CCDC146/TMEM232/HYDIN/ARMC3/DNAH10/MNS1/NEK10,27,,,TRUE
robust_mrna_strict,GO_BP,251,GO:0060294,cilium movement involved in cell motility,22/217,98/7416,0.224489795918367,7.67196463838992,11.5430327795742,3.94381036934704e-14,6.45141430251388e-11,6.45141430251388e-11,LRRC46/DNAH9/DRC1/EFHC2/DNAH3/ROPN1L/RSPH1/IQUB/ENKUR/PACRG/DNAH7/DNAH6/RSPH4A/DNAH5/TEKT1/DNAH12/DNAI1/CCDC146/TMEM232/ARMC3/DNAH10/MNS1,22,,,TRUE
robust_mrna_strict,GO_BP,251,GO:0001539,cilium or flagellum-dependent cell motility,22/217,100/7416,0.22,7.51852534562212,11.3936235983071,6.1750794951078e-14,6.45141430251388e-11,6.45141430251388e-11,LRRC46/DNAH9/DRC1/EFHC2/DNAH3/ROPN1L/RSPH1/IQUB/ENKUR/PACRG/DNAH7/DNAH6/RSPH4A/DNAH5/TEKT1/DNAH12/DNAI1/CCDC146/TMEM232/ARMC3/DNAH10/MNS1,22,,,TRUE
robust_mrna_strict,GO_BP,251,GO:0060285,cilium-dependent cell motility,22/217,100/7416,0.22,7.51852534562212,11.3936235983071,6.1750794951078e-14,6.45141430251388e-11,6.45141430251388e-11,LRRC46/DNAH9/DRC1/EFHC2/DNAH3/ROPN1L/RSPH1/IQUB/ENKUR/PACRG/DNAH7/DNAH6/RSPH4A/DNAH5/TEKT1/DNAH12/DNAI1/CCDC146/TMEM232/ARMC3/DNAH10/MNS1,22,,,TRUE
robust_mrna_strict,GO_BP,251,GO:0007018,microtubule-based movement,28/217,215/7416,0.130232558139535,4.45071267816954,8.91417142971538,1.83464922272022e-11,1.53339982034956e-08,1.53339982034956e-08,LRRC46/DNAH9/DRC1/SPAG6/EFHC2/DNAH3/ROPN1L/RSPH1/IQUB/ENKUR/DNAAF1/PACRG/DNAH7/DNAH6/RSPH4A/DNAH5/TEKT1/DNAH12/SPAG17/MAP1A/DNAI1/CCDC146/TMEM232/HYDIN/ARMC3/DNAH10/MNS1/NEK10,28,,,TRUE
robust_mrna_strict,GO_BP,251,GO:0035082,axoneme assembly,13/217,42/7416,0.30952380952381,10.5780118499013,10.8068172266972,9.71859032743388e-11,6.7689981630577e-08,6.7689981630577e-08,DRC1/DNAH3/RSPH1/DNAAF1/DNAH7/RSPH4A/DNAH5/DNAH12/SPAG17/DNAI1/CCDC146/HYDIN/MNS1,13,,,TRUE
robust_mrna_strict,GO_BP,251,GO:0030317,flagellated sperm motility,17/217,86/7416,0.197674418604651,6.75554602936448,9.32036944847474,3.01593659884215e-10,1.57544988082017e-07,1.57544988082017e-07,LRRC46/DRC1/EFHC2/DNAH3/ROPN1L/RSPH1/IQUB/ENKUR/PACRG/DNAH5/TEKT1/DNAH12/DNAI1/CCDC146/TMEM232/ARMC3/MNS1,17,,,TRUE
robust_mrna_strict,GO_BP,251,GO:0097722,sperm motility,17/217,86/7416,0.197674418604651,6.75554602936448,9.32036944847474,3.01593659884215e-10,1.57544988082017e-07,1.57544988082017e-07,LRRC46/DRC1/EFHC2/DNAH3/ROPN1L/RSPH1/IQUB/ENKUR/PACRG/DNAH5/TEKT1/DNAH12/DNAI1/CCDC146/TMEM232/ARMC3/MNS1,17,,,TRUE
robust_mrna_strict,GO_BP,251,GO:0001578,microtubule bundle formation,13/217,54/7416,0.240740740740741,8.2273425499232,9.25394620166047,3.09275456288979e-09,1.43606903536849e-06,1.43606903536849e-06,DRC1/DNAH3/RSPH1/DNAAF1/DNAH7/RSPH4A/DNAH5/DNAH12/SPAG17/DNAI1/CCDC146/HYDIN/MNS1,13,,,TRUE
robust_mrna_strict,GO_BP,251,GO:0007286,spermatid development,11/217,52/7416,0.211538461538462,7.22935129386742,7.82594808515258,2.19917975145656e-07,9.19037218133697e-05,9.19037218133697e-05,LRRC46/DNAH3/ROPN1L/ADGB/RSPH1/PLN/DNAH12/SPAG17/CCDC146/ARMC3/MNS1,11,,,TRUE
